season,week,seasontype,poll,rank,team,conference,firstPlaceVotes,points
2025,1,regular,AFCA Division III Coaches Poll,10,Wisconsin-Lacrosse,Wisconsin,0,763
2025,1,regular,AFCA Division III Coaches Poll,11,Cortland,Empire 8,0,742
2025,1,regular,AFCA Division III Coaches Poll,12,Bethel (MN),Minnesota,0,706
2025,1,regular,AFCA Division III Coaches Poll,13,Springfield,NEWMAC,0,627
2025,1,regular,AFCA Division III Coaches Poll,14,Wisconsin-Platteville,Wisconsin,0,609
2025,1,regular,AFCA Division III Coaches Poll,15,Linfield College,Northwest,0,516
2025,1,regular,AFCA Division III Coaches Poll,16,Depauw,North Coast,0,490
2025,1,regular,AFCA Division III Coaches Poll,17,Wheaton,CCIW,0,423
2025,1,regular,AFCA Division III Coaches Poll,18,Carnegie Mellon,Presidents',0,382
2025,1,regular,AFCA Division III Coaches Poll,19,Wisconsin-River Falls,Wisconsin,0,354
2025,1,regular,AFCA Division III Coaches Poll,20,Hope College,Michigan,0,332
2025,1,regular,AFCA Division III Coaches Poll,21,Randolph-Macon,Old Dominion,0,254
2025,1,regular,AFCA Division III Coaches Poll,22,Wisconsin-Whitewater,Wisconsin,0,238
2025,1,regular,AFCA Division III Coaches Poll,23,Grove City College,Presidents',0,229
2025,1,regular,AFCA Division III Coaches Poll,24,Aurora,NACC,0,194
2025,1,regular,AFCA Division III Coaches Poll,25,John Carroll University,Ohio,0,128
2025,1,regular,AP Top 25,1,Texas,SEC,25,1552
2025,1,regular,AP Top 25,2,Penn State,Big Ten,23,1547
2025,1,regular,AP Top 25,3,Ohio State,Big Ten,11,1472
2025,1,regular,AP Top 25,4,Clemson,ACC,4,1398
2025,1,regular,AP Top 25,5,Georgia,SEC,1,1331
2025,1,regular,AP Top 25,6,Notre Dame,FBS Independents,0,1325
2025,1,regular,AP Top 25,7,Oregon,Big Ten,1,1236
2025,1,regular,AP Top 25,8,Alabama,SEC,0,1179
2025,1,regular,AP Top 25,9,LSU,SEC,0,1174
2025,1,regular,AP Top 25,10,Miami,ACC,0,889
2025,1,regular,AP Top 25,11,Arizona State,Big 12,0,791
2025,1,regular,AP Top 25,12,Illinois,Big Ten,0,713
2025,1,regular,AP Top 25,13,South Carolina,SEC,0,667
2025,1,regular,AP Top 25,14,Michigan,Big Ten,0,662
2025,1,regular,AP Top 25,15,Florida,SEC,0,626
2025,1,regular,AP Top 25,16,SMU,ACC,0,565
2025,1,regular,AP Top 25,17,Kansas State,Big 12,0,512
2025,1,regular,AP Top 25,18,Oklahoma,SEC,0,463
2025,1,regular,AP Top 25,19,Texas A&M,SEC,0,434
2025,1,regular,AP Top 25,20,Indiana,Big Ten,0,423
2025,1,regular,AP Top 25,21,Ole Miss,SEC,0,370
2025,1,regular,AP Top 25,22,Iowa State,Big 12,0,309
2025,1,regular,AP Top 25,23,Texas Tech,Big 12,0,274
2025,1,regular,AP Top 25,24,Tennessee,SEC,0,192
2025,1,regular,AP Top 25,25,Boise State,Mountain West,0,191
2025,1,regular,Coaches Poll,1,Texas,SEC,28,1606
2025,1,regular,Coaches Poll,2,Ohio State,Big Ten,20,1565
2025,1,regular,Coaches Poll,3,Penn State,Big Ten,14,1525
2025,1,regular,Coaches Poll,4,Georgia,SEC,3,1466
2025,1,regular,Coaches Poll,5,Notre Dame,FBS Independents,0,1360
2025,1,regular,Coaches Poll,6,Clemson,ACC,2,1324
2025,1,regular,Coaches Poll,7,Oregon,Big Ten,0,1307
2025,1,regular,Coaches Poll,8,Alabama,SEC,0,1210
2025,1,regular,Coaches Poll,9,LSU,SEC,0,1056
2025,1,regular,Coaches Poll,10,Miami,ACC,0,823
2025,1,regular,Coaches Poll,11,Arizona State,Big 12,0,806
2025,1,regular,Coaches Poll,12,Illinois,Big Ten,0,734
2025,1,regular,Coaches Poll,13,South Carolina,SEC,0,665
2025,1,regular,Coaches Poll,14,Michigan,Big Ten,0,580
2025,1,regular,Coaches Poll,15,Ole Miss,SEC,0,573
2025,1,regular,Coaches Poll,16,SMU,ACC,0,555
2025,1,regular,Coaches Poll,17,Florida,SEC,0,498
2025,1,regular,Coaches Poll,18,Tennessee,SEC,0,492
2025,1,regular,Coaches Poll,19,Indiana,Big Ten,0,460
2025,1,regular,Coaches Poll,20,Kansas State,Big 12,0,438
2025,1,regular,Coaches Poll,21,Iowa State,Big 12,0,392
2025,1,regular,Coaches Poll,21,Texas A&M,SEC,0,392
2025,1,regular,Coaches Poll,23,BYU,Big 12,0,287
2025,1,regular,Coaches Poll,24,Texas Tech,Big 12,0,261
2025,1,regular,Coaches Poll,25,Boise State,Mountain West,0,246
2025,1,regular,FCS Coaches Poll,1,North Dakota State,MVFC,26,650
2025,1,regular,FCS Coaches Poll,2,Montana State,Big Sky,0,612
2025,1,regular,FCS Coaches Poll,3,South Dakota State,MVFC,0,581
2025,1,regular,FCS Coaches Poll,4,Incarnate Word,Southland,0,541
2025,1,regular,FCS Coaches Poll,5,South Dakota,MVFC,0,521
2025,1,regular,FCS Coaches Poll,6,Illinois State,MVFC,0,466
2025,1,regular,FCS Coaches Poll,7,UC Davis,Big Sky,0,456
2025,1,regular,FCS Coaches Poll,8,Tarleton State,UAC,0,454
2025,1,regular,FCS Coaches Poll,9,Montana,Big Sky,0,447
2025,1,regular,FCS Coaches Poll,10,Rhode Island,CAA,0,416
2025,1,regular,FCS Coaches Poll,11,Mercer,Southern,0,396
2025,1,regular,FCS Coaches Poll,12,Idaho,Big Sky,0,371
2025,1,regular,FCS Coaches Poll,13,Villanova,CAA,0,338
2025,1,regular,FCS Coaches Poll,14,Sacramento State,Big Sky,0,265
2025,1,regular,FCS Coaches Poll,15,Lehigh,Patriot,0,207
2025,1,regular,FCS Coaches Poll,16,Abilene Christian,UAC,0,203
2025,1,regular,FCS Coaches Poll,17,Jackson State,SWAC,0,200
2025,1,regular,FCS Coaches Poll,18,Northern Arizona,Big Sky,0,168
2025,1,regular,FCS Coaches Poll,19,Western Carolina,Southern,0,147
2025,1,regular,FCS Coaches Poll,20,Southern Illinois,MVFC,0,132
2025,1,regular,FCS Coaches Poll,21,Monmouth,CAA,0,116
2025,1,regular,FCS Coaches Poll,22,Richmond,Patriot,0,111
2025,1,regular,FCS Coaches Poll,22,Tennessee Tech,Big South-OVC,0,111
2025,1,regular,FCS Coaches Poll,24,Stephen F. Austin,Southland,0,82
2025,1,regular,FCS Coaches Poll,25,Stony Brook,CAA,0,69
2025,2,regular,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,31,775
2025,2,regular,AFCA Division II Coaches Poll,2,Harding University,Great American,0,736
2025,2,regular,AFCA Division II Coaches Poll,3,Grand Valley State University,GLIAC,0,706
2025,2,regular,AFCA Division II Coaches Poll,4,Slippery Rock,Pennsylvania State Athletic,0,648
2025,2,regular,AFCA Division II Coaches Poll,5,CSU Pueblo,Rocky Mountain,0,638
2025,2,regular,AFCA Division II Coaches Poll,6,West Florida,Gulf South,0,612
2025,2,regular,AFCA Division II Coaches Poll,7,Kutztown University,Pennsylvania State Athletic,0,557
2025,2,regular,AFCA Division II Coaches Poll,8,Minnesota State Mankato,Northern Sun,0,550
2025,2,regular,AFCA Division II Coaches Poll,9,Western Colorado,Rocky Mountain,0,531
2025,2,regular,AFCA Division II Coaches Poll,10,Angelo State,Lone Star,0,467
2025,2,regular,AFCA Division II Coaches Poll,11,Valdosta State,Gulf South,0,430
2025,2,regular,AFCA Division II Coaches Poll,12,University Of Charleston (WV),Mountain East,0,402
2025,2,regular,AFCA Division II Coaches Poll,13,Pittsburg St,Mid America,0,374
2025,2,regular,AFCA Division II Coaches Poll,14,PennWest California,Pennsylvania State Athletic,0,322
2025,2,regular,AFCA Division II Coaches Poll,15,Ouachita Baptist,Great American,0,311
2025,2,regular,AFCA Division II Coaches Poll,16,Virginia Union,CIAA,0,296
2025,2,regular,AFCA Division II Coaches Poll,17,Indianapolis,Great Lakes,0,269
2025,2,regular,AFCA Division II Coaches Poll,18,Central Washington,Lone Star,0,259
2025,2,regular,AFCA Division II Coaches Poll,19,Central Oklahoma,Mid America,0,228
2025,2,regular,AFCA Division II Coaches Poll,20,Augustana University (SD),Northern Sun,0,211
2025,2,regular,AFCA Division II Coaches Poll,21,UT Permian Basin,Lone Star,0,190
2025,2,regular,AFCA Division II Coaches Poll,22,Delta State,Gulf South,0,98
2025,2,regular,AFCA Division II Coaches Poll,23,Ashland,Great Midwest Athletic,0,84
2025,2,regular,AFCA Division II Coaches Poll,24,Lenoir-Rhyne,South Atlantic,0,83
2025,2,regular,AFCA Division II Coaches Poll,25,West Alabama,Gulf South,0,73
2025,2,regular,AP Top 25,1,Ohio State,Big Ten,55,1636
2025,2,regular,AP Top 25,2,Penn State,Big Ten,7,1558
2025,2,regular,AP Top 25,3,LSU,SEC,3,1514
2025,2,regular,AP Top 25,4,Georgia,SEC,0,1410
2025,2,regular,AP Top 25,5,Miami,ACC,0,1360
2025,2,regular,AP Top 25,6,Oregon,Big Ten,0,1302
2025,2,regular,AP Top 25,7,Texas,SEC,0,1293
2025,2,regular,AP Top 25,8,Clemson,ACC,0,1135
2025,2,regular,AP Top 25,9,Notre Dame,FBS Independents,0,1068
2025,2,regular,AP Top 25,10,South Carolina,SEC,0,882
2025,2,regular,AP Top 25,11,Illinois,Big Ten,0,855
2025,2,regular,AP Top 25,12,Arizona State,Big 12,0,850
2025,2,regular,AP Top 25,13,Florida,SEC,0,737
2025,2,regular,AP Top 25,14,Florida State,ACC,0,705
2025,2,regular,AP Top 25,15,Michigan,Big Ten,0,686
2025,2,regular,AP Top 25,16,Iowa State,Big 12,0,566
2025,2,regular,AP Top 25,17,SMU,ACC,0,561
2025,2,regular,AP Top 25,18,Oklahoma,SEC,0,519
2025,2,regular,AP Top 25,19,Texas A&M,SEC,0,424
2025,2,regular,AP Top 25,20,Ole Miss,SEC,0,393
2025,2,regular,AP Top 25,21,Alabama,SEC,0,360
2025,2,regular,AP Top 25,22,Tennessee,SEC,0,339
2025,2,regular,AP Top 25,23,Indiana,Big Ten,0,257
2025,2,regular,AP Top 25,24,Texas Tech,Big 12,0,247
2025,2,regular,AP Top 25,25,Utah,Big 12,0,227
2025,2,regular,Coaches Poll,1,Ohio State,Big Ten,59,1666
2025,2,regular,Coaches Poll,2,Penn State,Big Ten,6,1574
2025,2,regular,Coaches Poll,3,Georgia,SEC,1,1518
2025,2,regular,Coaches Poll,4,LSU,SEC,1,1469
2025,2,regular,Coaches Poll,5,Oregon,Big Ten,0,1381
2025,2,regular,Coaches Poll,6,Texas,SEC,0,1339
2025,2,regular,Coaches Poll,7,Miami,ACC,0,1304
2025,2,regular,Coaches Poll,8,Clemson,ACC,0,1067
2025,2,regular,Coaches Poll,9,Notre Dame,FBS Independents,0,1038
2025,2,regular,Coaches Poll,10,Arizona State,Big 12,0,957
2025,2,regular,Coaches Poll,11,South Carolina,SEC,0,915
2025,2,regular,Coaches Poll,12,Illinois,Big Ten,0,909
2025,2,regular,Coaches Poll,13,Michigan,Big Ten,0,725
2025,2,regular,Coaches Poll,14,Ole Miss,SEC,0,668
2025,2,regular,Coaches Poll,15,Florida,SEC,0,638
2025,2,regular,Coaches Poll,16,SMU,ACC,0,602
2025,2,regular,Coaches Poll,17,Tennessee,SEC,0,563
2025,2,regular,Coaches Poll,18,Iowa State,Big 12,0,518
2025,2,regular,Coaches Poll,19,Florida State,ACC,0,491
2025,2,regular,Coaches Poll,20,Alabama,SEC,0,390
2025,2,regular,Coaches Poll,21,Indiana,Big Ten,0,369
2025,2,regular,Coaches Poll,22,Texas A&M,SEC,0,363
2025,2,regular,Coaches Poll,23,Texas Tech,Big 12,0,253
2025,2,regular,Coaches Poll,24,Oklahoma,SEC,0,251
2025,2,regular,Coaches Poll,25,BYU,Big 12,0,163
2025,2,regular,FCS Coaches Poll,1,North Dakota State,MVFC,25,649
2025,2,regular,FCS Coaches Poll,2,South Dakota State,MVFC,0,586
2025,2,regular,FCS Coaches Poll,3,Tarleton State,UAC,1,567
2025,2,regular,FCS Coaches Poll,3,Montana State,Big Sky,0,567
2025,2,regular,FCS Coaches Poll,5,UC Davis,Big Sky,0,469
2025,2,regular,FCS Coaches Poll,6,South Dakota,MVFC,0,465
2025,2,regular,FCS Coaches Poll,7,Illinois State,MVFC,0,446
2025,2,regular,FCS Coaches Poll,8,Rhode Island,CAA,0,440
2025,2,regular,FCS Coaches Poll,9,Incarnate Word,Southland,0,412
2025,2,regular,FCS Coaches Poll,10,Montana,Big Sky,0,402
2025,2,regular,FCS Coaches Poll,11,Idaho,Big Sky,0,384
2025,2,regular,FCS Coaches Poll,12,Villanova,CAA,0,338
2025,2,regular,FCS Coaches Poll,13,Lehigh,Patriot,0,291
2025,2,regular,FCS Coaches Poll,14,Jackson State,SWAC,0,268
2025,2,regular,FCS Coaches Poll,15,Southern Illinois,MVFC,0,239
2025,2,regular,FCS Coaches Poll,16,Sacramento State,Big Sky,0,213
2025,2,regular,FCS Coaches Poll,17,Abilene Christian,UAC,0,211
2025,2,regular,FCS Coaches Poll,18,Monmouth,CAA,0,184
2025,2,regular,FCS Coaches Poll,19,Northern Arizona,Big Sky,0,167
2025,2,regular,FCS Coaches Poll,20,Tennessee Tech,Big South-OVC,0,159
2025,2,regular,FCS Coaches Poll,21,Mercer,Southern,0,156
2025,2,regular,FCS Coaches Poll,22,North Dakota,MVFC,0,95
2025,2,regular,FCS Coaches Poll,23,Stephen F. Austin,Southland,0,60
2025,2,regular,FCS Coaches Poll,24,East Tennessee State,Southern,0,58
2025,2,regular,FCS Coaches Poll,25,Nicholls,Southland,0,57
2025,2,regular,FCS Coaches Poll,25,Western Carolina,Southern,0,57
2025,3,regular,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,31,775
2025,3,regular,AFCA Division II Coaches Poll,2,Harding University,Great American,0,738
2025,3,regular,AFCA Division II Coaches Poll,3,Grand Valley State University,GLIAC,0,704
2025,3,regular,AFCA Division II Coaches Poll,4,Slippery Rock,Pennsylvania State Athletic,0,646
2025,3,regular,AFCA Division II Coaches Poll,5,West Florida,Gulf South,0,645
2025,3,regular,AFCA Division II Coaches Poll,6,Kutztown University,Pennsylvania State Athletic,0,609
2025,3,regular,AFCA Division II Coaches Poll,7,Minnesota State Mankato,Northern Sun,0,597
2025,3,regular,AFCA Division II Coaches Poll,8,Angelo State,Lone Star,0,543
2025,3,regular,AFCA Division II Coaches Poll,9,Western Colorado,Rocky Mountain,0,542
2025,3,regular,AFCA Division II Coaches Poll,10,PennWest California,Pennsylvania State Athletic,0,464
2025,3,regular,AFCA Division II Coaches Poll,11,Augustana University (SD),Northern Sun,0,381
2025,3,regular,AFCA Division II Coaches Poll,12,UT Permian Basin,Lone Star,0,380
2025,3,regular,AFCA Division II Coaches Poll,13,Virginia Union,CIAA,0,364
2025,3,regular,AFCA Division II Coaches Poll,14,CSU Pueblo,Rocky Mountain,0,337
2025,3,regular,AFCA Division II Coaches Poll,15,Central Oklahoma,Mid America,0,336
2025,3,regular,AFCA Division II Coaches Poll,16,Delta State,Gulf South,0,301
2025,3,regular,AFCA Division II Coaches Poll,17,West Alabama,Gulf South,0,200
2025,3,regular,AFCA Division II Coaches Poll,18,Central Washington,Lone Star,0,199
2025,3,regular,AFCA Division II Coaches Poll,18,University Of Charleston (WV),Mountain East,0,199
2025,3,regular,AFCA Division II Coaches Poll,20,Ashland,Great Midwest Athletic,0,185
2025,3,regular,AFCA Division II Coaches Poll,21,Lenoir-Rhyne,South Atlantic,0,120
2025,3,regular,AFCA Division II Coaches Poll,22,Valdosta State,Gulf South,0,110
2025,3,regular,AFCA Division II Coaches Poll,23,Carson-Newman College,South Atlantic,0,104
2025,3,regular,AFCA Division II Coaches Poll,24,Pittsburg St,Mid America,0,86
2025,3,regular,AFCA Division II Coaches Poll,24,Minnesota Duluth,Northern Sun,0,86
2025,3,regular,AFCA Division III Coaches Poll,1,North Central College,CCIW,51,1299
2025,3,regular,AFCA Division III Coaches Poll,2,University of Mount Union,Ohio,1,1249
2025,3,regular,AFCA Division III Coaches Poll,3,Johns Hopkins University,Centennial,0,1178
2025,3,regular,AFCA Division III Coaches Poll,4,Saint John's (MN),Minnesota,0,1108
2025,3,regular,AFCA Division III Coaches Poll,5,Susquehanna,Landmark Conference,0,1065
2025,3,regular,AFCA Division III Coaches Poll,6,Hardin-Simmons,American Southwest,0,946
2025,3,regular,AFCA Division III Coaches Poll,7,Salisbury,New Jersey,0,914
2025,3,regular,AFCA Division III Coaches Poll,8,Mary Hardin-Baylor,American Southwest,0,903
2025,3,regular,AFCA Division III Coaches Poll,9,Wisconsin-Lacrosse,Wisconsin,0,844
2025,3,regular,AFCA Division III Coaches Poll,10,Wartburg,American Rivers,0,819
2025,3,regular,AFCA Division III Coaches Poll,11,Wisconsin-Platteville,Wisconsin,0,795
2025,3,regular,AFCA Division III Coaches Poll,12,Bethel (MN),Minnesota,0,716
2025,3,regular,AFCA Division III Coaches Poll,13,Depauw,North Coast,0,632
2025,3,regular,AFCA Division III Coaches Poll,14,Wisconsin-River Falls,Wisconsin,0,557
2025,3,regular,AFCA Division III Coaches Poll,15,Grove City College,Presidents',0,556
2025,3,regular,AFCA Division III Coaches Poll,16,Carnegie Mellon,Presidents',0,507
2025,3,regular,AFCA Division III Coaches Poll,17,Hope College,Michigan,0,449
2025,3,regular,AFCA Division III Coaches Poll,18,Wisconsin-Oshkosh,Wisconsin,0,424
2025,3,regular,AFCA Division III Coaches Poll,19,Wisconsin-Whitewater,Wisconsin,0,372
2025,3,regular,AFCA Division III Coaches Poll,20,Randolph-Macon,Old Dominion,0,348
2025,3,regular,AFCA Division III Coaches Poll,21,John Carroll University,Ohio,0,270
2025,3,regular,AFCA Division III Coaches Poll,22,Wheaton,CCIW,0,269
2025,3,regular,AFCA Division III Coaches Poll,23,Cortland,Empire 8,0,157
2025,3,regular,AFCA Division III Coaches Poll,24,Linfield College,Northwest,0,75
2025,3,regular,AFCA Division III Coaches Poll,25,Springfield,NEWMAC,0,62
2025,3,regular,AP Top 25,1,Ohio State,Big Ten,57,1614
2025,3,regular,AP Top 25,2,Penn State,Big Ten,5,1524
2025,3,regular,AP Top 25,3,LSU,SEC,2,1487
2025,3,regular,AP Top 25,4,Oregon,Big Ten,1,1375
2025,3,regular,AP Top 25,5,Miami,ACC,0,1360
2025,3,regular,AP Top 25,6,Georgia,SEC,0,1350
2025,3,regular,AP Top 25,7,Texas,SEC,0,1248
2025,3,regular,AP Top 25,8,Notre Dame,FBS Independents,0,1086
2025,3,regular,AP Top 25,9,Illinois,Big Ten,0,1001
2025,3,regular,AP Top 25,10,Florida State,ACC,0,954
2025,3,regular,AP Top 25,11,South Carolina,SEC,0,927
2025,3,regular,AP Top 25,12,Clemson,ACC,0,894
2025,3,regular,AP Top 25,13,Oklahoma,SEC,0,893
2025,3,regular,AP Top 25,14,Iowa State,Big 12,0,794
2025,3,regular,AP Top 25,15,Tennessee,SEC,0,537
2025,3,regular,AP Top 25,16,Texas A&M,SEC,0,532
2025,3,regular,AP Top 25,17,Ole Miss,SEC,0,518
2025,3,regular,AP Top 25,18,South Florida,American Athletic,0,444
2025,3,regular,AP Top 25,19,Alabama,SEC,0,396
2025,3,regular,AP Top 25,20,Utah,Big 12,0,361
2025,3,regular,AP Top 25,21,Texas Tech,Big 12,0,347
2025,3,regular,AP Top 25,22,Indiana,Big Ten,0,331
2025,3,regular,AP Top 25,23,Michigan,Big Ten,0,250
2025,3,regular,AP Top 25,24,Auburn,SEC,0,172
2025,3,regular,AP Top 25,25,Missouri,SEC,0,109
2025,3,regular,Coaches Poll,1,Ohio State,Big Ten,62,1668
2025,3,regular,Coaches Poll,2,Penn State,Big Ten,4,1576
2025,3,regular,Coaches Poll,3,Georgia,SEC,0,1488
2025,3,regular,Coaches Poll,4,LSU,SEC,1,1472
2025,3,regular,Coaches Poll,5,Oregon,Big Ten,0,1423
2025,3,regular,Coaches Poll,6,Miami,ACC,0,1330
2025,3,regular,Coaches Poll,7,Texas,SEC,0,1288
2025,3,regular,Coaches Poll,8,Notre Dame,FBS Independents,0,1041
2025,3,regular,Coaches Poll,9,Illinois,Big Ten,0,1019
2025,3,regular,Coaches Poll,10,South Carolina,SEC,0,1007
2025,3,regular,Coaches Poll,11,Clemson,ACC,0,995
2025,3,regular,Coaches Poll,12,Florida State,ACC,0,843
2025,3,regular,Coaches Poll,13,Ole Miss,SEC,0,803
2025,3,regular,Coaches Poll,14,Iowa State,Big 12,0,794
2025,3,regular,Coaches Poll,15,Tennessee,SEC,0,733
2025,3,regular,Coaches Poll,16,Oklahoma,SEC,0,693
2025,3,regular,Coaches Poll,17,Texas A&M,SEC,0,514
2025,3,regular,Coaches Poll,18,Alabama,SEC,0,436
2025,3,regular,Coaches Poll,19,Indiana,Big Ten,0,425
2025,3,regular,Coaches Poll,20,Texas Tech,Big 12,0,362
2025,3,regular,Coaches Poll,21,Utah,Big 12,0,270
2025,3,regular,Coaches Poll,22,Michigan,Big Ten,0,241
2025,3,regular,Coaches Poll,23,South Florida,American Athletic,0,232
2025,3,regular,Coaches Poll,24,Arizona State,Big 12,0,206
2025,3,regular,Coaches Poll,25,BYU,Big 12,0,169
2025,3,regular,FCS Coaches Poll,1,North Dakota State,MVFC,24,648
2025,3,regular,FCS Coaches Poll,2,South Dakota State,MVFC,2,623
2025,3,regular,FCS Coaches Poll,3,Tarleton State,UAC,0,594
2025,3,regular,FCS Coaches Poll,4,Illinois State,MVFC,0,516
2025,3,regular,FCS Coaches Poll,5,Rhode Island,CAA,0,509
2025,3,regular,FCS Coaches Poll,6,Montana State,Big Sky,0,494
2025,3,regular,FCS Coaches Poll,7,Montana,Big Sky,0,481
2025,3,regular,FCS Coaches Poll,8,Incarnate Word,Southland,0,422
2025,3,regular,FCS Coaches Poll,9,UC Davis,Big Sky,0,421
2025,3,regular,FCS Coaches Poll,10,Idaho,Big Sky,0,389
2025,3,regular,FCS Coaches Poll,11,Villanova,CAA,0,374
2025,3,regular,FCS Coaches Poll,12,Lehigh,Patriot,0,354
2025,3,regular,FCS Coaches Poll,13,Abilene Christian,UAC,0,297
2025,3,regular,FCS Coaches Poll,14,Southern Illinois,MVFC,0,266
2025,3,regular,FCS Coaches Poll,15,Jackson State,SWAC,0,236
2025,3,regular,FCS Coaches Poll,16,Tennessee Tech,Big South-OVC,0,233
2025,3,regular,FCS Coaches Poll,17,North Dakota,MVFC,0,230
2025,3,regular,FCS Coaches Poll,18,Monmouth,CAA,0,227
2025,3,regular,FCS Coaches Poll,19,Northern Arizona,Big Sky,0,184
2025,3,regular,FCS Coaches Poll,20,South Dakota,MVFC,0,172
2025,3,regular,FCS Coaches Poll,21,Sacramento State,Big Sky,0,129
2025,3,regular,FCS Coaches Poll,22,Mercer,Southern,0,82
2025,3,regular,FCS Coaches Poll,23,Austin Peay,UAC,0,73
2025,3,regular,FCS Coaches Poll,24,New Hampshire,CAA,0,72
2025,3,regular,FCS Coaches Poll,25,Youngstown State,MVFC,0,56
2025,4,regular,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,31,775
2025,4,regular,AFCA Division II Coaches Poll,2,Harding University,Great American,0,719
2025,4,regular,AFCA Division II Coaches Poll,3,West Florida,Gulf South,0,688
2025,4,regular,AFCA Division II Coaches Poll,4,Slippery Rock,Pennsylvania State Athletic,0,669
2025,4,regular,AFCA Division II Coaches Poll,5,Kutztown University,Pennsylvania State Athletic,0,648
2025,4,regular,AFCA Division II Coaches Poll,6,Angelo State,Lone Star,0,622
2025,4,regular,AFCA Division II Coaches Poll,7,Western Colorado,Rocky Mountain,0,569
2025,4,regular,AFCA Division II Coaches Poll,8,PennWest California,Pennsylvania State Athletic,0,501
2025,4,regular,AFCA Division II Coaches Poll,9,Augustana University (SD),Northern Sun,0,487
2025,4,regular,AFCA Division II Coaches Poll,10,Grand Valley State University,GLIAC,0,477
2025,4,regular,AFCA Division II Coaches Poll,11,UT Permian Basin,Lone Star,0,474
2025,4,regular,AFCA Division II Coaches Poll,12,CSU Pueblo,Rocky Mountain,0,391
2025,4,regular,AFCA Division II Coaches Poll,13,West Alabama,Gulf South,0,375
2025,4,regular,AFCA Division II Coaches Poll,14,Minnesota State Mankato,Northern Sun,0,352
2025,4,regular,AFCA Division II Coaches Poll,15,Central Oklahoma,Mid America,0,347
2025,4,regular,AFCA Division II Coaches Poll,16,Minnesota Duluth,Northern Sun,0,299
2025,4,regular,AFCA Division II Coaches Poll,17,Central Washington,Lone Star,0,263
2025,4,regular,AFCA Division II Coaches Poll,18,Pittsburg St,Mid America,0,221
2025,4,regular,AFCA Division II Coaches Poll,19,Lenoir-Rhyne,South Atlantic,0,205
2025,4,regular,AFCA Division II Coaches Poll,20,Valdosta State,Gulf South,0,161
