season,seasonType,week,poll,rank,team,conference,points
2025,regular,1,AFCA Division II Coaches Poll,24,Ashland,Great Midwest Athletic,114
2025,regular,1,AFCA Division II Coaches Poll,24,Miles College,SIAC,114
2025,regular,1,AFCA Division III Coaches Poll,1,North Central College,CCIW,1275
2025,regular,1,AFCA Division III Coaches Poll,2,University of Mount Union,Ohio,1218
2025,regular,1,AFCA Division III Coaches Poll,3,Johns Hopkins University,Centennial,1097
2025,regular,1,AFCA Division III Coaches Poll,4,Saint John's (MN),Minnesota,1058
2025,regular,1,AFCA Division III Coaches Poll,5,Susquehanna,Landmark Conference,1016
2025,regular,1,AFCA Division III Coaches Poll,6,Hardin-Simmons,American Southwest,975
2025,regular,1,AFCA Division III Coaches Poll,7,Salisbury,New Jersey,870
2025,regular,1,AFCA Division III Coaches Poll,8,Mary Hardin-Baylor,American Southwest,861
2025,regular,1,AFCA Division III Coaches Poll,9,Wartburg,American Rivers,811
2025,regular,1,AFCA Division III Coaches Poll,10,Wisconsin-Lacrosse,Wisconsin,763
2025,regular,1,AFCA Division III Coaches Poll,11,Cortland,Empire 8,742
2025,regular,1,AFCA Division III Coaches Poll,12,Bethel (MN),Minnesota,706
2025,regular,1,AFCA Division III Coaches Poll,13,Springfield,NEWMAC,627
2025,regular,1,AFCA Division III Coaches Poll,14,Wisconsin-Platteville,Wisconsin,609
2025,regular,1,AFCA Division III Coaches Poll,15,Linfield College,Northwest,516
2025,regular,1,AFCA Division III Coaches Poll,16,Depauw,North Coast,490
2025,regular,1,AFCA Division III Coaches Poll,17,Wheaton,CCIW,423
2025,regular,1,AFCA Division III Coaches Poll,18,Carnegie Mellon,Presidents',382
2025,regular,1,AFCA Division III Coaches Poll,19,Wisconsin-River Falls,Wisconsin,354
2025,regular,1,AFCA Division III Coaches Poll,20,Hope College,Michigan,332
2025,regular,1,AFCA Division III Coaches Poll,21,Randolph-Macon,Old Dominion,254
2025,regular,1,AFCA Division III Coaches Poll,22,Wisconsin-Whitewater,Wisconsin,238
2025,regular,1,AFCA Division III Coaches Poll,23,Grove City College,Presidents',229
2025,regular,1,AFCA Division III Coaches Poll,24,Aurora,NACC,194
2025,regular,1,AFCA Division III Coaches Poll,25,John Carroll University,Ohio,128
2025,regular,1,AP Top 25,1,Texas,SEC,1552
2025,regular,1,AP Top 25,2,Penn State,Big Ten,1547
2025,regular,1,AP Top 25,3,Ohio State,Big Ten,1472
2025,regular,1,AP Top 25,4,Clemson,ACC,1398
2025,regular,1,AP Top 25,5,Georgia,SEC,1331
2025,regular,1,AP Top 25,6,Notre Dame,FBS Independents,1325
2025,regular,1,AP Top 25,7,Oregon,Big Ten,1236
2025,regular,1,AP Top 25,8,Alabama,SEC,1179
2025,regular,1,AP Top 25,9,LSU,SEC,1174
2025,regular,1,AP Top 25,10,Miami,ACC,889
2025,regular,1,AP Top 25,11,Arizona State,Big 12,791
2025,regular,1,AP Top 25,12,Illinois,Big Ten,713
2025,regular,1,AP Top 25,13,South Carolina,SEC,667
2025,regular,1,AP Top 25,14,Michigan,Big Ten,662
2025,regular,1,AP Top 25,15,Florida,SEC,626
2025,regular,1,AP Top 25,16,SMU,ACC,565
2025,regular,1,AP Top 25,17,Kansas State,Big 12,512
2025,regular,1,AP Top 25,18,Oklahoma,SEC,463
2025,regular,1,AP Top 25,19,Texas A&M,SEC,434
2025,regular,1,AP Top 25,20,Indiana,Big Ten,423
2025,regular,1,AP Top 25,21,Ole Miss,SEC,370
2025,regular,1,AP Top 25,22,Iowa State,Big 12,309
2025,regular,1,AP Top 25,23,Texas Tech,Big 12,274
2025,regular,1,AP Top 25,24,Tennessee,SEC,192
2025,regular,1,AP Top 25,25,Boise State,Mountain West,191
2025,regular,1,Coaches Poll,1,Texas,SEC,1606
2025,regular,1,Coaches Poll,2,Ohio State,Big Ten,1565
2025,regular,1,Coaches Poll,3,Penn State,Big Ten,1525
2025,regular,1,Coaches Poll,4,Georgia,SEC,1466
2025,regular,1,Coaches Poll,5,Notre Dame,FBS Independents,1360
2025,regular,1,Coaches Poll,6,Clemson,ACC,1324
2025,regular,1,Coaches Poll,7,Oregon,Big Ten,1307
2025,regular,1,Coaches Poll,8,Alabama,SEC,1210
2025,regular,1,Coaches Poll,9,LSU,SEC,1056
2025,regular,1,Coaches Poll,10,Miami,ACC,823
2025,regular,1,Coaches Poll,11,Arizona State,Big 12,806
2025,regular,1,Coaches Poll,12,Illinois,Big Ten,734
2025,regular,1,Coaches Poll,13,South Carolina,SEC,665
2025,regular,1,Coaches Poll,14,Michigan,Big Ten,580
2025,regular,1,Coaches Poll,15,Ole Miss,SEC,573
2025,regular,1,Coaches Poll,16,SMU,ACC,555
2025,regular,1,Coaches Poll,17,Florida,SEC,498
2025,regular,1,Coaches Poll,18,Tennessee,SEC,492
2025,regular,1,Coaches Poll,19,Indiana,Big Ten,460
2025,regular,1,Coaches Poll,20,Kansas State,Big 12,438
2025,regular,1,Coaches Poll,21,Iowa State,Big 12,392
2025,regular,1,Coaches Poll,21,Texas A&M,SEC,392
2025,regular,1,Coaches Poll,23,BYU,Big 12,287
2025,regular,1,Coaches Poll,24,Texas Tech,Big 12,261
2025,regular,1,Coaches Poll,25,Boise State,Mountain West,246
2025,regular,1,FCS Coaches Poll,1,North Dakota State,MVFC,650
2025,regular,1,FCS Coaches Poll,2,Montana State,Big Sky,612
2025,regular,1,FCS Coaches Poll,3,South Dakota State,MVFC,581
2025,regular,1,FCS Coaches Poll,4,Incarnate Word,Southland,541
2025,regular,1,FCS Coaches Poll,5,South Dakota,MVFC,521
2025,regular,1,FCS Coaches Poll,6,Illinois State,MVFC,466
2025,regular,1,FCS Coaches Poll,7,UC Davis,Big Sky,456
2025,regular,1,FCS Coaches Poll,8,Tarleton State,UAC,454
2025,regular,1,FCS Coaches Poll,9,Montana,Big Sky,447
2025,regular,1,FCS Coaches Poll,10,Rhode Island,CAA,416
2025,regular,1,FCS Coaches Poll,11,Mercer,Southern,396
2025,regular,1,FCS Coaches Poll,12,Idaho,Big Sky,371
2025,regular,1,FCS Coaches Poll,13,Villanova,CAA,338
2025,regular,1,FCS Coaches Poll,14,Sacramento State,Big Sky,265
2025,regular,1,FCS Coaches Poll,15,Lehigh,Patriot,207
2025,regular,1,FCS Coaches Poll,16,Abilene Christian,UAC,203
2025,regular,1,FCS Coaches Poll,17,Jackson State,SWAC,200
2025,regular,1,FCS Coaches Poll,18,Northern Arizona,Big Sky,168
2025,regular,1,FCS Coaches Poll,19,Western Carolina,Southern,147
2025,regular,1,FCS Coaches Poll,20,Southern Illinois,MVFC,132
2025,regular,1,FCS Coaches Poll,21,Monmouth,CAA,116
2025,regular,1,FCS Coaches Poll,22,Richmond,Patriot,111
2025,regular,1,FCS Coaches Poll,22,Tennessee Tech,Big South-OVC,111
2025,regular,1,FCS Coaches Poll,24,Stephen F. Austin,Southland,82
2025,regular,1,FCS Coaches Poll,25,Stony Brook,CAA,69
